spw.put("ZCNR035L元一柏庄一期西门","14152");
spw.put("HTH542RH嘉闽宾馆","4058");
spw.put("HTH541RH茶园商务宾馆-茶香坊59幢A号1-3楼","4057");
spw.put("HTH540RH世博风尚宾馆","4056");
spw.put("HTH538RH爱尚网咖经开伊泽店","4055");
spw.put("HTH537RH爱尚网咖-金盛店-正原路175号","4054");
spw.put("HTH536RH青蛙网吧-鸣羊路952号","4053");
spw.put("HTH534RH润嘉100-塘汇路1054号","4052");
spw.put("ZTHR024L茶香坊南区北门","4045");
spw.put("ZTHR022L御华名都北门","4044");
spw.put("ZTHR023L育龙湾南门","4043");
spw.put("ZTHR021L御华名都东北门","4042");
spw.put("ZJBR059L嘉州美都5期西南门","4041");
spw.put("ZJBR058L嘉州美都5期西北门","4040");
spw.put("ZJBR057L嘉州美都1-4期东门","4039");
spw.put("ZJBR056L百墅花园西门","4038");
spw.put("ZJBR055L盛大花园东门","4037");
spw.put("ZJBR054L盛大花园北门","4036");
spw.put("ZJBR052L友谊公寓西门","4035");
spw.put("ZJBR051L陆家苑南门","4034");
spw.put("ZJBR049L天城花园东区南门进","4033");
spw.put("ZJBR048L天城花园东区东门","4032");
spw.put("ZJBR047L天河街171号西门","4031");
spw.put("ZJBR044L建明公寓东门","4030");
spw.put("ZJBR043L中丝苑西门","4029");
spw.put("ZJBR042L名人国际花园南门","4028");
spw.put("ZJBR041L虹泰公寓西区东门","4027");
spw.put("ZJBR040L凯旋公寓东门","4026");
spw.put("ZJBR038L银洲苑东面南门出","4025");
spw.put("ZJBR037L银洲苑东面南门进","4024");
spw.put("ZJBR036L立达汇园北面东门","4023");
spw.put("ZJBR035L立达汇园北面西门","4022");
spw.put("ZJBR034L立达汇园东面北门","4021");
spw.put("ZJBR033L立达汇园东面中门","4020");
spw.put("ZJBR031L公安新村北门","4019");
spw.put("ZJBR030L都市先锋东门","4018");
spw.put("HCN725RD欧美生物科技产业园大门","4017");
spw.put("HCN724RD昌盛南路浙江康润","4016");
spw.put("HCN720RD智慧家园大门","4015");
spw.put("HCN719RD嘉兴学院南门","4014");
spw.put("HCN718RD嘉兴学院东门","4013");
spw.put("HCN716RD三环南路孙家港闸南100米西侧人行道东","4012");
spw.put("HCN712RD三环南路长水塘桥东南","4011");
spw.put("HCN705RD三环南路孙家港闸南100米西侧人行道","4010");
spw.put("HCN699RD邦尔骨科医院门诊大门","4009");
spw.put("HCN697RD艾思博科技宿舍楼门口","4008");
spw.put("HCN695RD莱尚旅游用品有限公司南门","4007");
spw.put("HCN694RD莱尚旅游用品有限公司西门","4006");
spw.put("HCN692RD庆春路5-A号物流公司","4005");
spw.put("HCN690RD庆春路375号远东纸业门口","4004");
spw.put("HCN688RD嘉杭路4S店前非机动车道","4003");
spw.put("HCN684RD汇才公寓西侧","4002");
spw.put("HCN683RD汇才公寓东北侧","4001");
spw.put("HCN682RD汇才公寓大门","4000");
spw.put("HCN681RD优优城南东门","3999");
spw.put("HCN680RD优优城南东北角商铺","3998");
spw.put("HCN678RD金色月亮湾东南角店铺","3997");
spw.put("HCN677RD人才公寓大门","3996");
spw.put("HCN676RD科创中心西门","3995");
spw.put("HCN675RD人才公寓西北角KTV","3994");
spw.put("HCN674RD广穹路创新路东南角隔离绿化带","3993");
spw.put("HCN672RD嘉兴蓝天学校大门","3992");
spw.put("HCN671RD义圣名苑东门","3991");
spw.put("HTH453RD华玉路北侧到底桥下","3990");
spw.put("HTH448RD育龙湾南大门","3989");
spw.put("HTH446RD茶香坊南区大门口","3988");
spw.put("HTH445RD茶香坊北区大门口","3987");
spw.put("HTH444RD茶香坊南区社区门口","3986");
spw.put("HTH443RD御华名都大门口","3985");
spw.put("HTH442RD鸣羊路章园路口商铺东北角","3984");
spw.put("HTH440RD茶香坊西区东侧公交站","3983");
spw.put("HTH438RD茶香坊西区大门口朝南","3982");
spw.put("HTH432RD长纤塘公园5","3981");
spw.put("HTH430RD永汇府邸二期大门口","3980");
spw.put("HTH428RD永政路68号永汇府邸大门","3979");
spw.put("HTH427RD永政路33号马路对面","3978");
spw.put("HTH426RD永政路32号","3977");
spw.put("HTH425RD奥元黄金海岸一期南侧商铺","3976");
spw.put("HTH421RD长纤塘公园4","3975");
spw.put("HTH420RD长纤塘公园3","3974");
spw.put("HTH417RD尚东名邸北门马路对面","3973");
spw.put("HTH415RD尚东名邸单身公寓电梯口","3972");
spw.put("HTH412RD尚东名邸正大门","3971");
spw.put("HTH410RD茶园大桥南路口非机动车西侧","3970");
spw.put("HTH409RD茶园大桥北路口非机动车东侧","3969");
spw.put("HTH406RD茶园大桥东","3968");
spw.put("ZJBR029L金都景苑南门","3967");
spw.put("ZJBR028L金都景苑北门","3966");
spw.put("ZJBR027L海派秀城北门","3965");
spw.put("ZJBR026L紫园北门","3964");
spw.put("ZJBR025L紫园西门","3963");
spw.put("ZJBR024L米兰风景北门","3962");
spw.put("ZJBR022L皇马公寓北门","3961");
spw.put("ZJBR021L洪兴花园北区南门","3960");
spw.put("ZJBR020L洪兴花园南区消防门北","3959");
spw.put("ZJBR019L洪兴花园南区消防门北","3958");
spw.put("ZJBR018L洪兴花园南区西门","3957");
spw.put("ZJBR017L常秀西区南门","3956");
spw.put("ZJBR016L常秀东区东门","3955");
spw.put("ZJBR015L紫金凰庭东门出","3954");
spw.put("ZJBR014L紫金凰庭东门进","3953");
spw.put("ZJBR013L紫金凰庭南门出","3952");
spw.put("ZJBR012L紫金凰庭南门进","3951");
spw.put("ZJBR011L振兴公寓东门","3950");
spw.put("ZJBR010L信远朗庭南门","3949");
spw.put("ZJBR008L新中国际北门","3948");
spw.put("ZJBR007L新中国际东门","3947");
spw.put("ZJBR006L丽池庄园东门","3946");
spw.put("ZJBR005L丽池庄园北门","3945");
spw.put("ZJBR004L昌盛花园B东门","3944");
spw.put("ZJBR003L昌盛花园B消防门出","3943");
spw.put("ZJBR002L昌盛花园B消防门进","3942");
spw.put("HCN668RD义圣名苑北门","3941");
spw.put("HCN667RD百妙二期消防门","3940");
spw.put("HCN666RD中环南路万历路路口","3939");
spw.put("HCN665RD福地广场北门","3938");
spw.put("HCN664RD福地广场南门","3937");
spw.put("HCN663RD百妙公寓二期大门","3936");
spw.put("HCN662RD卫生院大门口","3935");
spw.put("HCN660RD吧娜娜KTV门口","3934");
spw.put("HCN658RD中环南路越秀路西斑马线","3933");
spw.put("HCN657RD维也纳酒店门口","3932");
spw.put("HCN656RD百妙公寓一期门口","3931");
spw.put("HCN655RD姜家村公寓门口","3930");
spw.put("HCN654RD龙威大厦大门2","3929");
spw.put("HCN653RD龙威大厦大门1","3928");
spw.put("HCN652RD城南路清华路东北非机动车道","3927");
spw.put("HCN651RD城南路南都大厦非机动车道","3926");
spw.put("HCN648RD南海渔村酒店","3925");
spw.put("HCN647RD紫元尚园西门","3924");
spw.put("HCN646RD第一医院急诊大厅","3923");
spw.put("HCN645RD第一医院北门公交车站","3922");
spw.put("HCN644RD第一医院北门东侧人行道","3921");
spw.put("HTH367RD东方路大众4S店大门口","3920");
spw.put("HTH366RD二环北路东方钢帘南门","3919");
spw.put("HTH363RD韩泰轮胎大门口右侧公交站","3918");
spw.put("HTH362RD韩泰轮胎大门口内车库","3917");
spw.put("HTH361RD东方路岗山路西南角","3916");
spw.put("HTH360RD东方路官荡大桥南堍西侧","3915");
spw.put("HTH359RD东方路官荡大桥南堍东侧","3914");
spw.put("HTH349RD淳祥电子西大门","3913");
spw.put("HTH344RD昌盛东路维龙南大门里面","3912");
spw.put("HTH342RD昌盛东路古运河大桥东堍南侧","3911");
spw.put("HTH340RD岗山路75号维龙北门","3910");
spw.put("HTH338RD岗山路中达公司门口","3909");
spw.put("HTH336RD吉祥大桥南堍东侧","3908");
spw.put("HTH333RD岗山路东海橡塑员工通道","3907");
spw.put("HTH330RD岗山路锡顿后门","3906");
spw.put("HTH328RD岗山路恒誉公司后门","3905");
spw.put("HTH325RD岗山路废品分拣集散中心门口内","3904");
spw.put("HTH324RD禾欣可乐丽门口","3903");
spw.put("HTH323RD昌盛路平南路北100米","3902");
spw.put("HTH317RD平东路平南路东北角","3901");
spw.put("HTH316RD平东路平南路西南角","3900");
spw.put("HTH315RD平东路东侧到底职工之家","3899");
spw.put("HTH312RD正原路187和风公馆门口","3898");
spw.put("HTH311RD和风丽园门口","3897");
spw.put("HTH309RD正原路和风路海之梦门口","3896");
spw.put("HTH308RD正原路小虎子车业门口","3895");
spw.put("HTH302RD万和大厦西出口","3894");
spw.put("ZJBR001L昌盛花园A东门","3893");
spw.put("HJB351RY禾兴北路自行车租赁点非机动车道","3892");
spw.put("HJB350RY禾兴北路城乡公交出站口人行道","3891");
spw.put("HJB349RY禾兴北路同心路人行道","3890");
spw.put("HJB345RY北大附属嘉兴实验学校","3889");
spw.put("HJB341RY 皇家永利门口","3888");
spw.put("HJB339RY常秀街立达汇园门口","3887");
spw.put("HJB325RY银海路西端桥东","3886");
spw.put("HJB322RY都市先锋内","3885");
spw.put("HJB321RY中山路财富广场马路边","3884");
spw.put("HJB319RY隆禧大厦门口","3883");
spw.put("HJB304RY北师大附属嘉兴高级中学","3882");
spw.put("HJB303RY同济附属嘉兴实验学校","3881");
spw.put("HJB300RY禾城天下北侧商铺","3880");
spw.put("HJB299RY禾城天下门口","3879");
spw.put("HJB298RY 国际丝绸中心对面商铺","3878");
spw.put("HJB297RY阳光小区东大门","3877");
spw.put("HJB296RY禾兴北路底小红庙桥","3876");
spw.put("HJB295RY汽车北站出租车上客区","3875");
spw.put("HJB294RY汽车北站城乡公交进口","3874");
spw.put("HJB293RY汽车北站出站口","3873");
spw.put("HJB285RY洪越路建明公寓大门口西侧","3872");
spw.put("HJB282RY嘉兴市友谊小学","3871");
spw.put("HJB283RY石雪幼儿园南门","3870");
spw.put("HTH576RH正原路和风路公交站2","3862");
spw.put("HTH563RH长纤塘路茶园桥下","3861");
spw.put("HTH570RH城东路湘家荡大道接口处","3860");
spw.put("HJB277RY常秀菜场门口","3859");
spw.put("HJB275RY金都景苑大门口东侧商铺","3858");
spw.put("HJB274RY金都景苑大门口西侧商铺","3857");
spw.put("HJB255RY禾平街阳光新南区西门口","3856");
spw.put("HJB058RY嘉兴学院附属实验幼儿园","3855");
spw.put("HJB053RY阳海南区入口南","3854");
spw.put("HJB039RY阳光西区","3853");
spw.put("HJB035RY昌盛菜场","3852");
spw.put("HJB034RY昌盛A区","3851");
spw.put("HJB033RY昌盛B区","3850");
spw.put("HJB031RY振兴公寓","3849");
spw.put("HJB025RY陆家苑大门口","3848");
spw.put("HJB024RY虹泰西区入口","3847");
spw.put("HJB007RY洪兴花园北区入口","3846");
spw.put("HCN1019RH翠柳路长新农贸市场北桥2-2","3843");
spw.put("HCN1018RH翠柳路长新农贸市场北桥2-1","3842");
spw.put("HCN1017RH腊梅路经开实验小学西2-2","3841");
spw.put("HCN1016RH腊梅路经开实验小学西2-1","3840");
spw.put("HCN1014RH百公桥路与开禧路交叉口西100米中通快递外","3839");
spw.put("HCN1013RH城南路紫元尚园西桥尚","3838");
spw.put("HCN1012RH城南路与紫竹路交叉口北20米","3837");
spw.put("HCN1011RH城南路与展望路交叉口桥上2-2","3836");
spw.put("HCN1010RH城南路与展望路交叉口桥上2-1","3835");
spw.put("HCN1009RH银河路与长水路交叉口南100米桥上","3834");
spw.put("HCN1005RH昌盛南路与桐乡大道交叉口南20米","3833");
spw.put("HTH403RD长纤桥中环北路桥下","3832");
spw.put("HTH402RD绿道入口200米","3831");
spw.put("HTH397RD塘汇公园","3830");
spw.put("HTH394RD东方路东方新家园南区北塘汇路公交车站台","3829");
spw.put("HTH392RD东方新家园老南区消防通道","3828");
spw.put("HTH391RD东方新家园南区门口","3827");
spw.put("HTH390RD桥东街桥西堍下桥","3826");
spw.put("HTH389RD桥东街桥西堍上桥","3825");
spw.put("HTH388RD东方新家园南区西南角东方桥下","3824");
spw.put("HTH387RD东方路东方新家园南区公交车站台","3823");
spw.put("HTH385RD东方新家园北区消防通道外","3822");
spw.put("HTH384RD东方路889东方新家园老南区西商铺","3821");
spw.put("HTH383RD东方路锦绣路东北角","3820");
spw.put("HTH382RD东方新家园北区大门口西侧商铺","3819");
spw.put("HTH381RD21世纪外国语学校","3818");
spw.put("HTH379RD东方新家园北区大门口","3817");
spw.put("HTH377RD南湖星辰湾1期大门口西商铺","3816");
spw.put("HTH376RD枫华园大门口","3815");
spw.put("HTH375RD南湖星辰湾1期大门口东商铺","3814");
spw.put("HTH374RD南湖星辰湾1期大门口","3813");
spw.put("HTH373RD南湖星辰湾1期消防通道","3812");
spw.put("HTH372RD永政社区后小桥北堍","3811");
spw.put("HTH371RD南湖星辰湾2期门口","3810");
spw.put("HTH370RD枫华园消防通道商铺","3809");
spw.put("HTH368RD二环北路中石油东100米丰港桥东堍南侧","3808");
spw.put("HCN1003RH天琴路与华严路交叉口西2-1","3807");
spw.put("HCN1002RH昌盛南路与华严路南60米","3806");
spw.put("HCN1000RH龙舟路与昌盛路东50米桥上2-2","3805");
spw.put("HCN999RH龙舟路与昌盛路东50米桥上2-1","3804");
spw.put("HCN998RH广穹路与三环西路交叉口东100米","3803");
spw.put("HCN997RH昌盛路文昌路交叉口南100米2-2","3802");
spw.put("HCN996RH昌盛路文昌路交叉口南100米2-1","3801");
spw.put("HCN995RH梁林帆一期老运河北桥南","3800");
spw.put("HCN994RH320国道文昌西路交叉口公交站2-2","3799");
spw.put("HCN993RH320国道文昌西路交叉口公交站2-1","3798");
spw.put("HCN989RH广穹路与创新路口2-2","3797");
spw.put("HCN988RH广穹路与创新路口2-1","3796");
spw.put("HCN987RH嘉杭路与三环路交叉桥上2-2","3795");
spw.put("HCN986RH嘉杭路与三环路交叉桥上2-1","3794");
spw.put("HCN985RH越秀路南秀广场东公交站","3793");
spw.put("HCN983RH禾源农贸市场","3792");
spw.put("HCN982RH御缇湾","3791");
spw.put("HCN981RH广穹路与天琴路交叉口西50米桥2-2","3790");
spw.put("HCN980RH广穹路与天琴路交叉口西50米桥2-1","3789");
spw.put("HCN979RH旭辉御府","3788");
spw.put("HCN978RH玫瑰怡园","3787");
spw.put("HCN975RH翠柳路中心堂","3786");
spw.put("HCN974RH天恩堂","3785");
spw.put("HCN973RH红树湾4幢2单元楼梯口","3784");
spw.put("HCN971RH清华府邸10幢2单元楼梯口","3783");
spw.put("HTH300RD万和大厦单身公寓电梯口","3782");
spw.put("HTH298RD万和大厦东南角","3781");
spw.put("HTH297RD万和大厦东南角南侧商铺","3780");
spw.put("HTH295RD嘉兴建筑工业学校西门","3779");
spw.put("HTH291RD嘉兴建筑工业学校门口进口","3778");
spw.put("HTH290RD嘉兴建筑工业学校门口对面人行道","3777");
spw.put("HTH289RD塘汇实验小学门口","3776");
spw.put("HTH288RD新禾家苑北消防通道","3775");
spw.put("HTH287RD正阳大桥南堍","3774");
spw.put("HTH284RD圆通古寺南大门对面","3773");
spw.put("HTH283RD圆通古寺北侧非机动车道","3772");
spw.put("HTH282RD圆通古寺南大门","3771");
spw.put("HTH271RD警犬基地","3770");
spw.put("HTH267RD新禾家苑东门","3769");
spw.put("HTH266RD茶园路锦江之星门口","3768");
spw.put("HTH264RD兴汇广场民泰银行门口","3767");
spw.put("HTH261RD塘汇街道传达室1","3766");
spw.put("HTH258RD兴汇广场东北角小桥","3765");
spw.put("HTH255RD鸣羊大桥北堍东","3764");
spw.put("HTH254RD鸣羊大桥南堍西","3763");
spw.put("HTH252RD塘汇街道卫生院","3762");
spw.put("HTH251RD浅水湾小区大门西","3761");
spw.put("HTH250RD浅水湾小区大门东","3760");
spw.put("HTH239RD通融酒店门口","3759");
spw.put("HTH238RD塘汇新禾幼儿园","3758");
spw.put("HTH237RD新禾家苑安置房北大门","3757");
spw.put("HTH235RD新禾家苑南大门西","3756");
spw.put("HCN970RH嘉兴学院梁林校区2-2","3755");
spw.put("HCN969RH嘉兴学院梁林校区2-1","3754");
spw.put("HCN968RH嘉兴第一人民医院9-9","3753");
spw.put("HCN967RH嘉兴第一人民医院9-8","3752");
spw.put("HCN966RH嘉兴第一人民医院9-7","3751");
spw.put("HCN965RH嘉兴第一人民医院9-6","3750");
spw.put("HCN964RH嘉兴第一人民医院9-5","3749");
spw.put("HCN963RH嘉兴第一人民医院9-4","3748");
spw.put("HCN962RH嘉兴第一人民医院9-3","3747");
spw.put("HCN960RH嘉兴第一人民医院9-1","3746");
spw.put("HCN959RH经开龙鼎万达北楼","3745");
spw.put("HCN958RH经开龙鼎万广场莲花广场公寓楼","3744");
spw.put("HCN957RH富悦大酒店花坛处靠桐乡大道","3743");
spw.put("HCN955RH富悦大酒店东门出口处","3742");
spw.put("HCN954RH月星家居南面","3741");
spw.put("HCN953RH月星家居西面","3740");
spw.put("HCN952RH月星家居北面","3739");
spw.put("HCN951RH月星家居东面","3738");
spw.put("HCN950RH秀公馆西南角","3737");
spw.put("HCN949RH秀公馆东南角","3736");
spw.put("HCN948RH五四广场东门口出口","3735");
spw.put("HCN947RH博弈KTV颐高广场西南角足联堂足浴电梯口对面","3734");
spw.put("HCN946RH庆春路成吉路公交站2-2","3733");
spw.put("HCN944RH蓝波湾网咖","3732");
spw.put("HCN943RH九峰网咖","3731");
spw.put("ZTHR020L茶香坊北区南门","3730");
spw.put("ZTHR019L新禾家苑经适房北门","3729");
spw.put("ZTHR018L新禾家苑东门","3728");
spw.put("ZTHR017L新禾家苑南门","3727");
spw.put("ZTHR016L浅水湾北门","3726");
spw.put("ZTHR015L新东方家园北区南门","3725");
spw.put("ZTHR014L新东方家园中区北门","3724");
spw.put("ZTHR012L枫华园南门","3723");
spw.put("ZTHR011L平安家园东门","3722");
spw.put("ZTHR010L和风丽园南门","3721");
spw.put("ZTHR009L南湖星辰湾一期北门","3720");
spw.put("ZTHR008L茶香坊西区北门","3719");
spw.put("ZTHR007L华玉佳苑东门","3718");
spw.put("ZTHR006L永汇府邸东区西门","3717");
spw.put("ZTHR005L永汇府邸西区东门","3716");
spw.put("ZTHR004L尚东名邸北门","3715");
spw.put("ZTHR003L尚东名邸南门出","3714");
spw.put("ZTHR002L尚东名邸南门进","3713");
spw.put("HTH533RD新禾家苑最西侧商铺","3712");
spw.put("HTH529RD中环东路徐王路路口","3711");
spw.put("HTH527RD金鹰绢麻纺织厂东面","3710");
spw.put("HTH525RD东方新家园南区西侧消防通道","3709");
spw.put("HTH523RD东方新家园北区1幢","3708");
spw.put("HTH522RD东方新家园北区26幢","3707");
spw.put("HTH521RD平安家园大门外","3706");
spw.put("HTH519RD茶香坊南区陈家桥","3705");
spw.put("HTH518RD茶香坊南区永福桥","3704");
spw.put("HCN941RH莱尚网吧","3703");
spw.put("HCN940RH皇爵网咖","3702");
spw.put("HCN939RH金色港湾网吧2-2","3701");
spw.put("HCN938RH金色港湾网吧2-1","3700");
spw.put("HCN937RH嘉兴龙虎网吧南门进口2-2","3699");
spw.put("HCN936RH嘉兴龙虎网吧南门进口2-1","3698");
spw.put("HCN935RH顶尚信息服务连锁有限公司2-2","3697");
spw.put("HCN934RH顶尚信息服务连锁有限公司2-1","3696");
spw.put("HCN933RH辰逸酒店","3695");
spw.put("HCN932RH嘉兴市华晨资产经营管理公司","3694");
spw.put("HCN931RH庆春路成吉路公交站2-1","3693");
spw.put("HCN930RH艾梦宾馆","3692");
spw.put("HCN929RH名品电子商务城朗格商务宾馆2-2","3691");
spw.put("HCN928RH名品电子商务城朗格商务宾馆2-1","3690");
spw.put("HCN926RH荣佳路福特4S店北2-1","3689");
spw.put("HCN925RH文博路嘉兴技师学院南中间桥2-2","3688");
spw.put("HCN924RH嘉兴市锦江之星商务宾馆","3687");
spw.put("HCN923RH红叶商务宾馆","3686");
spw.put("HCN922RH咖尔商务宾馆","3685");
spw.put("HCN921RH五四广场西门出口","3684");
spw.put("HCN920RH嘉兴市泰荣酒店2-2","3683");
spw.put("HCN919RH紫竹路公交枢纽出口","3682");
spw.put("HTH041RY茶香坊小区南门口","3681");
spw.put("HTH025RY东方新家园北区门口","3680");
spw.put("HTH007RY塘汇路东方新家园消防通道","3679");
spw.put("HTH002RY嘉兴市商业幼儿园","3678");
spw.put("HJB819RH浙江省嘉兴高级中学","3677");
spw.put("HJB815RH耀都商务宾馆--禾兴北路826号","3674");
spw.put("HJB814RH中山西路烟草局北公交站","3673");
spw.put("HJB813H仁德路振兴路口","3672");
spw.put("HJB812RH吉杨路常秀街交叉口西50米桥2-2","3671");
spw.put("HJB811RH吉杨路常秀街交叉口西50米桥2-1","3670");
spw.put("HJB810RH洪兴路洪兴花园南桥2-2","3669");
spw.put("HJB809RH洪兴路洪兴花园南桥2-1","3668");
spw.put("HJB808RH常秀街烟草局门口2-2","3667");
spw.put("HJB806RH秀仁路财富豪庭北桥2-2","3666");
spw.put("HJB805RH秀仁路财富豪庭北桥2-1","3665");
spw.put("HJB804RH常秀街洪兴实验学校东桥2-2","3664");
spw.put("HJB803RH常秀街洪兴实验学校东桥2-1","3663");
spw.put("HJB802RH同德路紫金凤庭西桥2-2","3662");
spw.put("HJB801RH同德路紫金凤庭西桥2-1","3661");
spw.put("HJB800RH东升西路市广电东桥2-2","3660");
spw.put("HJB799RH东升西路市广电东桥2-1","3659");
spw.put("HJB796RH昌盛中路艺墅春天西桥上2-2","3658");
spw.put("HJB795RH昌盛中路艺术春天西桥上2-1","3657");
spw.put("HJB794RH云海路春晓食品厂西桥2-2","3656");
spw.put("HCN918RH爱琴海主题酒店","3655");
spw.put("HCN917RH嘉兴富悦大酒店管理有限公司东门进口3-3","3654");
spw.put("HCN916RH文博路嘉兴技师学院南中间桥2-1","3653");
spw.put("HCN915RH文昌路与楫川路交叉口西50米2-2","3652");
spw.put("HCN914RH来往酒店","3651");
spw.put("HCN913RH文昌路与楫川路交叉口西50米2-1","3650");
spw.put("HCN912RH水域半岛浴室","3649");
spw.put("HCN911RH客运中心公交转换过道","3648");
spw.put("HCN910RH爱秀酒店2-2","3647");
spw.put("HCN909RH客运中心城际公交上客区外","3646");
spw.put("HCN907RH新喜来宾馆2-1","3645");
spw.put("HCN906RH贝壳酒店","3644");
spw.put("HCN905RH汤池汇足浴店2-2","3643");
spw.put("HCN904RH汤池汇足浴店2-1","3642");
spw.put("HCN903RH浙江欢乐颂酒店2-2","3641");
spw.put("HCN902RH浙江欢乐颂酒店2-1","3640");
spw.put("HCN901RH南苑E家","3639");
spw.put("HCN900RH米莱快捷酒店2-2","3638");
spw.put("HCN899RH米莱快捷酒店2-1","3637");
spw.put("HCN898RH佰客昇酒店","3636");
spw.put("HCN897RH客运中心城乡公交上客区外","3635");
spw.put("HCN896RH聊缘宾馆东门进口","3634");
spw.put("HCN895RH嘉兴蜗牛假日酒店","3633");
spw.put("HCN894RH嘉兴龙珠酒店有限公司东门进口","3632");
spw.put("ZCNR092L长新公寓一期北门进","3631");
spw.put("ZCNR091L常睦公寓消防门","3630");
spw.put("ZCNR093L长新公寓一期北门出","3629");
spw.put("HJB759RH建明路水利局宿舍1单元对应楼梯口外","3628");
spw.put("HJB758RH金都景苑1幢4号商场蟹的山田屋日本料理店门外","3627");
spw.put("HJB757RH石臼漾水厂4-4","3626");
spw.put("HJB756RH石臼漾水厂4-3","3625");
spw.put("HJB755RH石臼漾水厂4-2","3624");
spw.put("HJB754RH石臼漾水厂4-1","3623");
spw.put("HJB751RH嘉兴市广电总台2","3622");
spw.put("HJB750RH嘉兴市广电总台1","3621");
spw.put("HJB749RH杉杉印象","3620");
spw.put("HJB748RH中级人民法院西门","3619");
spw.put("HJB747RH中级人民法院南门-中山西路177号","3618");
spw.put("HJB744RH石臼漾水厂冬青路门口","3617");
spw.put("HJB742RH迪卡侬体育用品超市-洪兴西路1109号","3616");
spw.put("HJB740RH百墅路天天农展会--百墅路650号","3615");
spw.put("HJB738RH城西梦酒吧","3614");
spw.put("HJB737RH杰拉网咖-中环西路1851号","3613");
spw.put("HJB735RH圆梦KTV--禾兴北路829号201室","3612");
spw.put("HJB733RH鼎盛娱乐--友谊街107号","3611");
spw.put("HJB732RH芳草地歌厅--天河街150号","3610");
spw.put("HJB731RH茹梦娱乐厅","3609");
spw.put("HJB730RH夜归人音乐茶庄--洪兴路856号","3608");
spw.put("HJB729RH超乐迪KTV","3607");
spw.put("HJB726RH云水嘉和足道养身馆","3606");
spw.put("HJB725RH梵域足疗","3605");
spw.put("HJB724RH华清池浴室","3604");
spw.put("HJB721RH云顶国际水汇","3603");
spw.put("HJB719RH紫溪浴场","3602");
spw.put("ZCNR088L禾源新都北区西北门出","3601");
spw.put("ZCNR087L禾源新都北区西北门进","3600");
spw.put("ZCNR086L长新公寓四期东门出","3599");
spw.put("ZCNR085L长新公寓四期东门进","3598");
spw.put("ZCNR084L长新公寓四期西门","3597");
spw.put("ZCNR083L长新公寓四期东门","3596");
spw.put("ZCNR082L长新公寓四期东门","3595");
spw.put("ZCNR081L长新公寓四期东门出","3594");
spw.put("ZCNR079L长新公寓三期东门","3593");
spw.put("ZCNR078L长新公寓三期东门","3592");
spw.put("ZCNR077L长新公寓三期西门","3591");
spw.put("ZCNR076L长新公寓二期西门出","3590");
spw.put("ZCNR075L长新公寓二期西门进","3589");
spw.put("ZCNR074L长新公寓一期西门","3588");
spw.put("ZCNR072L长新公寓一期南门进","3587");
spw.put("ZCNR071L御缇湾西门","3586");
spw.put("ZCNR070L御缇湾东北出","3585");
spw.put("HJB716RH百墅浴室--东升东路2173号","3584");
spw.put("HJB713RH财富商务宾馆","3583");
spw.put("HJB712RH逸精品酒店--禾兴北路1126号","3582");
spw.put("HJB709RH华亭宾馆","3581");
spw.put("HJB708RH帝怡酒店-中环西路1012号","3580");
spw.put("HJB707RH大洋洲酒店-洪兴西路1425号","3579");
spw.put("HJB706RH景怡商务宾馆--禾兴北路1292号","3578");
spw.put("HJB705RH温泰宾馆--禾兴北路888-1号","3577");
spw.put("HJB704RH汽车北站城际公交入口丰尚宾馆门口","3576");
spw.put("HJB703RH汽车北站城乡公交北入口","3575");
spw.put("HJB702RD梦多多商场中心出入口","3574");
spw.put("HJB700RH禾兴路阳光小区西侧公交车站","3573");
spw.put("HJB697RH昌盛北路吴家桥东南角","3572");
spw.put("HJB693RH云海路到底向西","3571");
spw.put("HJB690RH苏银国际大厦东非机动车道","3570");
spw.put("HJB688RH银洲苑南消防通道","3569");
spw.put("HJB687RH银洲苑北消防通道","3568");
spw.put("HJB685RH云海路云海网吧门口","3567");
spw.put("HJB684RH禾兴北路鸿慧商务宾馆门口","3566");
spw.put("HJB683RH禾城世纪花园浅水湾水会门口","3565");
spw.put("HJB682RH中环西路穆湖桥西北角桥面","3564");
spw.put("HJB680RH嘉运桥下绿道北100米","3563");
spw.put("HJB678RH嘉运桥西北角人行道","3562");
spw.put("HJB677RH中环北路禾兴北路西北角人行道","3561");
spw.put("HJB676RH阳光花贸市场大门口","3560");
spw.put("HJB675RH阳光花贸市场网吧入口","3559");
spw.put("ZCNR069L御缇湾东北进","3558");
spw.put("ZCNR068L望湖公馆北门出","3557");
spw.put("ZCNR067L望湖公馆北门进","3556");
spw.put("ZCNR066L大树金港湾南门","3555");
spw.put("ZCNR064L义圣名苑北门","3554");
spw.put("ZCNR063L新人才公寓北门","3553");
spw.put("ZCNR062L尚园西门","3552");
spw.put("ZCNR061L尚园北门","3551");
spw.put("ZCNR058L清华府邸西北","3550");
spw.put("ZCNR057L清华府邸东北","3549");
spw.put("ZCNR056L南都苑","3548");
spw.put("ZCNR055L老人才公寓西门","3547");
spw.put("ZCNR054L姜家村公寓南门","3546");
spw.put("ZCNR053L海上新园北门出","3545");
spw.put("ZCNR052L海上新园北门进","3544");
spw.put("ZCNR050L海上传奇西门出","3543");
spw.put("ZCNR049L海上传奇西门进","3542");
spw.put("ZCNR048L海上传奇北门","3541");
